intelligence_record_id,brand,source,source_url,brand_description,tagline,parent_company,country_of_origin,collected_at
wiki-0011,Keen,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0012,Saucony,wikipedia,https://en.wikipedia.org/wiki/Saucony,"Saucony ( sock-a-knee) is an American brand of athletic footwear and apparel. Founded in 1898, the company is owned by Wolverine World Wide. Products commercialized by Saucony include footwear and clothing ranges, such as athletic shoes, jackets, hoodies, T-shirts, sweatpants, shorts, and socks. Accessories include hats and backpacks.
Saucony's shoe boxes once had the phrase ""sock a knee"" printed on them, which represents the correct pronunciation of the company's name. The Saucony brand logo represents the Saucony Creek's constant flow, and the boulders lining its creek bed.
The company is a popular racing shoe producer, making track spikes and cross country racing flats. Saucony also makes shoes for specific track and field athletics events.",,Wolverine World Wide,United States,2026-09-19T12:42:32+00:00
wiki-0013,Ecco,wikipedia,https://en.wikipedia.org/wiki/ECCO,"ECCO Sko A/S is a Danish shoe and leather accessories manufacturer founded in 1963 by Karl Toosbuy, in Bredebro, Denmark.   ECCO opened its first retail store in Denmark in 1982. ECCO is family-owned and employs 21,300 people worldwide, with product sales in 101 countries from over 2,250 shops and more than 14,000 sales points.",,ECCO Holding,,2026-09-19T12:42:32+00:00
wiki-0014,Frye,wikipedia,https://en.wikipedia.org/wiki/The_Frye_Company,"The Frye Company is an American manufacturer of shoes, boots and leather accessories. Founded in 1863, it claims to be the oldest continuously operated American shoe company.",,,,2026-09-19T12:42:32+00:00
wiki-0015,Ugg,wikipedia,https://en.wikipedia.org/wiki/UGG_(brand),"UGG is an American fashion company primarily known for its sheepskin boots, founded in 1978 by Brian Smith in California. UGG also sells apparel, accessories, and home textiles.",,,,2026-09-19T12:42:32+00:00
wiki-0016,Dream Pairs,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0017,Under Armour,wikipedia,https://en.wikipedia.org/wiki/Under_Armour,"Under Armour, Inc. is an American sportswear company that manufactures footwear and apparel headquartered in Baltimore, Maryland, United States.",,,United States,2026-09-19T12:42:32+00:00
wiki-0018,Nine West,wikipedia,https://en.wikipedia.org/wiki/Nine_West,"Nine West, also known as 9 West, is an American online fashion retailer which is based in White Plains, New York. It was founded in 1983 and closed its brick and mortar stores business in 2018. Its products continue to be sold at other retailers.",,,United States,2026-09-19T12:42:32+00:00
wiki-0019,Rockport,wikipedia,https://en.wikipedia.org/wiki/Rockport_(company),"The Rockport Group is an American shoe brand owned by Authentic Brands Group. Associated brands include Aravon, Dunham and Rockport, and the Rockport Cobb Hill Collection.
Founded in Marlborough, Massachusetts, in 1971 by Saul L. Katz and his son, Bruce R. Katz, the company marketed walking as a healthy alternative to running. In 2023 the Rockport Group was acquired by Authentic Brands Group.",,,United States,2026-09-19T12:42:32+00:00
wiki-0020,Cole Haan,wikipedia,https://en.wikipedia.org/wiki/Cole_Haan,"Cole Haan is an American brand specializing in footwear and accessories for men and women. Established in 1928 in Chicago, Illinois, the company has evolved from a men's footwear label to a global brand offering a range of products. As of 2023, Cole Haan operates over 500 stores worldwide and maintains dual headquarters in New York City and Greenland, New Hampshire.",,Nike,United States,2026-09-19T12:42:32+00:00
wiki-0021,Steve Madden,wikipedia,"https://en.wikipedia.org/wiki/Steve_Madden,_Ltd.","Steven Madden, Ltd. is a publicly traded company that designs and markets shoes and fashion accessories. Based in Long Island City, New York, the company's brands include Dolce Vita, Betsey Johnson, Blondo, BB Dakota and Mad Love. Steve Madden is also a licensee of various brands, including Anne Klein and Superga.",,,,2026-09-19T12:42:32+00:00
wiki-0022,Teva,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0023,Stride Rite,wikipedia,https://en.wikipedia.org/wiki/Stride_Rite_Corporation,"Stride Rite (stylized in all lowercase), formerly the Stride Rite Corporation, is an American children's footwear company. Stride Rite products are marketed globally through brand licensee Vida Shoes International.",,Wolverine World Wide,United States,2026-09-19T12:42:32+00:00
wiki-0024,Columbia,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0025,Sperry,wikipedia,https://en.wikipedia.org/wiki/Sperry_(brand),"Sperry or Sperry Top-Sider is an American brand of boat shoe designed in 1935 by Paul A. Sperry. Sperrys, or Top-Siders, were the first boat shoes introduced into the boating and footwear markets. It is currently owned by Authentic Brands Group, with the North America operations licensed to Aldo group.",,,,2026-09-19T12:42:32+00:00
wiki-0026,Naturalizer,wikipedia,,,,Caleres,,2026-09-19T12:42:32+00:00
wiki-0027,Ariat,wikipedia,https://en.wikipedia.org/wiki/Ariat,"Ariat is an American footwear, apparel and accessories brand for equestrian sports, work industries and other outdoor activities, located in San Leandro, California. Ariat was launched by Beth Cross and Pam Parker in 1993.",,,,2026-09-19T12:42:32+00:00
wiki-0028,Aerosoles,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0029,Brooks,wikipedia,https://en.wikipedia.org/wiki/Brooks_Sports,"Brooks Sports, Inc., also known as Brooks Running, is an American sports equipment company that designs and markets high-performance men's and women's sneakers, clothing, and accessories. Headquartered in Seattle, Washington, Brooks products are available in 60 countries worldwide. The company is a subsidiary of Berkshire Hathaway.
Founded in 1914, Brooks originally manufactured shoes for a broad range of sports. Popular in the mid-1970s, the company faltered in the latter part of the decade, and filed for bankruptcy protection in 1981. In 2001, the product line was cut by more than 50% to focus the brand solely on running, and its concentration on performance technology was increased. Brooks Running became the top selling brand in the specialty running shoe market in 2011, and remained so through 2017 with a 25% market share.",,,,2026-09-19T12:42:32+00:00
wiki-0030,Propét,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0031,Fitflop,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0032,Sanuk,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0033,Dansko,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0034,Timberland,wikipedia,https://en.wikipedia.org/wiki/Timberland_(company),"Timberland LLC is an American manufacturer and retailer of outdoor footwear and apparel owned by VF Corporation. The company also sells accessories including watches, eyewear, and leather goods. Timberland's corporate headquarters are located in Stratham, New Hampshire.",,,,2026-09-19T12:42:32+00:00
wiki-0035,Lifestride,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0036,Sorel,wikipedia,https://en.wikipedia.org/wiki/Sorel_(brand),"Sorel is a subsidiary of Columbia Sportswear based in Portland, Oregon, that manufactures and distributes shoes.",,,,2026-09-19T12:42:32+00:00
wiki-0037,Dr. Martens,wikipedia,https://en.wikipedia.org/wiki/Dr._Martens,"Dr. Martens, also known as Doc Martens, Docs, or DMs, is a British footwear and clothing brand. Although most known for its durable footwear, it also makes a range of accessories, including clothing and bags. The footwear is distinguished by its air-cushioned sole, upper shape, welted construction, and yellow stitching. The company's global head office and design studio is located in Camden Town, London.
Dr. Martens manufactures in the UK (at the brand's historic Cobbs lane factory in Wollaston, Northamptonshire), China, Vietnam, Laos, and Thailand. The company is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index. According to the BBC, ""the company still makes more than half of its revenues from the original 1460 boot and sister product the 1461 shoe. The numbers refer to the dates they were introduced — 1 April 1960 and 1961.""",,Permira,United Kingdom,2026-09-19T12:42:32+00:00
wiki-0038,Converse,wikipedia,https://en.wikipedia.org/wiki/Converse_(brand),"Converse () is an American lifestyle brand that markets, distributes, and licenses footwear, apparel, and accessories. The company was founded by Marquis Mills Converse in 1908, originally as the Converse Rubber Shoe Company in Malden, Massachusetts. It was acquired by several companies before becoming a subsidiary of Nike, Inc. in 2003.
Converse initially produced winterized rubber-soled shoes and boots. During World War II, it shifted manufacturing to make footwear for the military. Initially, it was one of the few producers of athletic shoes and dominated the U.S. market, but lost its position in the 1970s as competitors introduced their own styles.
Converse's portfolio includes products under the Chuck Taylor All-Stars, Cons, Jack Purcell, One Star, and Star Chevron trademarks. It frequently collaborates on special-edition product releases with other brands, such as John Varvatos. The growth of Converse as a casual fashion accessory contributed to $2.4 billion in revenue in 2023.",,,,2026-09-19T12:42:32+00:00
wiki-0039,Jessica Simpson,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0040,Salomon,wikipedia,https://en.wikipedia.org/wiki/Salomon_Group,"Salomon SAS is a French sports equipment manufacturing company headquartered in Annecy, France. It was founded in 1947 by François Salomon. Salomon is owned by Finnish retail conglomerate Amer Sports, along with Wilson, Atomic, and Arc'teryx, among others.",,,,2026-09-19T12:42:32+00:00
wiki-0041,Reef,wikipedia,https://en.wikipedia.org/wiki/Reef_(company),"Reef is an American brand of casual sandals, known as flip-flops (Australia: thongs, New Zealand: jandals), created by two Argentine brothers, Fernando and Santiago Aguerre. In 1984, they moved from Argentina to the San Diego beach community of La Jolla, California, where they began Reef. Their product became popular amongst surfers and beach goers. Reef has subsequently grown into one of the world's leading active sandal manufacturers.
Reef was acquired by VF Corporation in 2005 and was subsequently sold to the Rockport Group in 2018.",,,,2026-09-19T12:42:32+00:00
wiki-0042,Dc,wikipedia,https://en.wikipedia.org/wiki/DC_Shoes,"DC Shoes, Inc. is an American brand that specializes in footwear for action sports such as skateboarding and snowboarding. The company also sells apparel, bags, accessories, hats, t-shirts, and posters.",,,,2026-09-19T12:42:32+00:00
wiki-0043,Fila,wikipedia,https://en.wikipedia.org/wiki/Fila,"Fila ( FEE-lə; Korean: 휠라; RR: Hwilla) is a South Korean sportswear brand headquartered in Seoul owned by Misto Holdings. The company was founded by brothers Ettore and Giansevero Fila in 1911 in Coggiola, Italy. Fila Korea acquired the brand in 2007 and launched its initial public offering (IPO) on the Korea Exchange in September 2010. 
Misto Holdings (formerly known as Fila Holdings) owns golf equipment maker Acushnet Company. Misto Holdings' largest shareholders include Piemonte Co., Ltd at around 20%, Misto Holdings at 20%, and South Korea's National Pension Service at around 13%. Gene Yoon (Yoon Yoon-su), who owns a 75% stake in Piemonte, serves as the chairman of Misto Holdings. The chief executive officer is Yoon Keun-chang.",,,,2026-09-19T12:42:32+00:00
wiki-0044,Chinese Laundry,wikipedia,,,,,United States,2026-09-19T12:42:32+00:00
wiki-0045,Dearfoams,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0046,Mizuno,wikipedia,https://en.wikipedia.org/wiki/Mizuno,"Mizuno Corporation (ミズノ株式会社, legally 美津濃株式会社, Mizuno Kabushiki-gaisha) (TYO: 8022) is a Japanese sports equipment and sportswear company, founded in Osaka in 1906 by Rihachi Mizuno. Today, Mizuno is a global corporation which makes a wide variety of sports equipment and sportswear for  table tennis, boxing, badminton, golf, baseball, mixed martial arts, association football, gridiron football, futsal,  judo, rugby, running, skiing, athletics, swimming, tennis, handball, volleyball and netball.",,,,2026-09-19T12:42:32+00:00
wiki-0047,Vionic,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0048,Calvin Klein,wikipedia,https://en.wikipedia.org/wiki/Calvin_Klein_(fashion_house),"Calvin Klein Inc. is an American designer fashion retail chain marketing its eponymously branded products worldwide. The company, which became famous for its designer underwear and denim lines in the 1980s, specializes in mass-market ready-to-wear clothing for all genders and age groups as well as leather products, lifestyle accessories and shoes, home furnishings, perfume/cosmetics, eyewear, jewelry and watches in the mid-price segment. Its high-end runway fashion division, which represented the top level of the various Calvin Klein sub-brands, was discontinued in 2019.
The company was founded by designer Calvin Klein and his childhood friend, Barry K. Schwartz, in 1968 and was acquired by PVH Corp. for a total of $700 million in 2003. It is headquartered in Midtown Manhattan, New York City, and has substantial market share in retail and commercial lines around the globe. In 2013, PVH bought Warnaco Group, one of the largest Calvin Klein licensees, for US$2.8 billion. Global retail sales under the Calvin Klein brand, including sales by the label's licensees, amounted to US$9.3 billion in 2022.",,PVH Corp.,United States,2026-09-19T12:42:32+00:00
wiki-0049,Ryka,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0050,Vans,wikipedia,https://en.wikipedia.org/wiki/Vans,"Vans (originally called the Van Doren Rubber Company) is an American apparel, accessories, and skateboarding shoes brand, established in Anaheim, California, and owned by VF Corporation. The company also sponsors surf, snowboarding, BMX, and motocross teams. From 1996 to 2019, and beginning again in 2025, the brand has been a primary sponsor of the annual Warped Tour music festival.",,,,2026-09-19T12:42:32+00:00
wiki-0051,Carter'S,wikipedia,https://en.wikipedia.org/wiki/Carter's,"Carter's, Inc. is a major American designer and marketer of children's apparel. It was founded in 1865 by William Carter.
Carter's sells its products through its own Carter's and OshKosh B'gosh retail stores, its website, and in other retail outlets such as department stores. As of 2019, it was reported that Carter's accounted for around one-quarter of all sales both for the children's sleepwear market, and for clothes for the newborn to two-year-old age group. Carter's ranks 754th on the Fortune 1000 list of the largest companies in the United States.",,,United States,2026-09-19T12:42:32+00:00
wiki-0052,Easy Spirit,wikipedia,,,,,United States,2026-09-19T12:42:32+00:00
wiki-0053,Anne Klein,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0054,Birkenstock,wikipedia,https://en.wikipedia.org/wiki/Birkenstock,"Birkenstock Holding plc is a German shoe manufacturer known for its sandals and other shoes notable for contoured cork footbeds (soles), made with layers of suede and jute, which conform to the shape of their wearers' feet. Founded in 1774 by Johann Adam Birkenstock and headquartered in Neustadt (Wied), Rhineland-Palatinate, Germany, the company's original purpose was to create shoes that support and contour the foot, compared to the flat soles of many shoes during that time. In 1896, the Fussbett (footbed) was designed, and by 1925, Birkenstocks were sold all over Europe.
In 1966, Margot Fraser first brought Birkenstocks to America. In the United States, they were sold in health stores, thus becoming associated with hippies in the 1970s.",,,,2026-09-19T12:42:32+00:00
wiki-0055,Stuart Weitzman,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0056,Easy Street,wikipedia,,,,,United States,2026-09-19T12:42:32+00:00
wiki-0057,Sam Edelman,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0058,Keds,wikipedia,https://en.wikipedia.org/wiki/Keds,"Keds is an American brand known for its canvas shoes with rubber soles. Founded in 1916 by U.S. Rubber, its original shoe design was the first mass-marketed canvas-top sneaker. The brand was sold to Stride Rite in 1979, which was acquired by Wolverine World Wide in 2012. Since February 2023, Keds has been owned and operated by Designer Brands.",,Wolverine World Wide,United States,2026-09-19T12:42:32+00:00
wiki-0059,Dr. Scholl'S Shoes,wikipedia,,,,,,2026-09-19T12:42:32+00:00
wiki-0060,Toms,wikipedia,https://en.wikipedia.org/wiki/Toms_Shoes,"Toms (stylized as TOMS) is an American for-profit company based in Los Angeles, California. Founded in 2006 by Blake Mycoskie, an entrepreneur from Arlington, Texas, the company designs and markets shoes as well as eyewear, coffee, apparel and handbags.
The company was taken over by its creditors: Jefferies Financial Group Inc, Nexus Capital Management LP, and Brookfield Asset Management Inc in December 2019, and founder Mycoskie ceased to be an owner.",,,,2026-09-19T12:42:32+00:00
